Gender,Age,Game Time,Action_Shooter,Roleplaying,Simulation_Management,Strategy,Music_Party,Sports_Racing,Horror_Adventure,Casual_Puzzle
1,2,5,5,5,2,4,4,2,2,2
1,2,3,3,5,5,3,2,2,2,4
1,2,2,4,4,5,5,4,4,5,4
1,1,1,3,4,4,5,5,5,5,3
1,1,2,4,4,4,4,3,2,2,3
1,2,4,3,5,4,4,5,2,4,3
1,1,1,4,2,2,2,3,2,2,2
1,2,3,5,5,5,5,5,4,5,5
1,2,1,4,NP,NP,NP,5,NP,NP,4
2,1,2,2,4,5,2,5,NP,NP,4
4,1,3,3,2,5,5,5,3,1,4
1,2,4,2,5,5,5,3,3,5,4
1,2,4,1,2,4,4,4,NP,NP,4
1,2,2,5,4,2,3,4,4,4,3
2,2,3,NP,4,3,NP,5,NP,NP,2
1,2,3,1,1,4,1,1,NP,5,1
4,3,5,5,5,5,5,5,5,5,5
1,2,1,1,4,4,4,1,2,NP,3
2,2,2,4,NP,4,2,3,3,4,5
1,2,2,5,5,2,3,3,5,4,4
1,3,2,4,3,2,2,3,5,2,4
2,2,1,1,4,NP,2,2,1,1,NP
1,2,1,2,3,1,2,2,2,2,2
4,2,5,5,5,NP,5,NP,5,5,5
1,2,2,1,2,4,1,3,2,2,4
3,1,5,4,4,5,NP,5,5,5,5
3,2,5,NP,5,4,NP,NP,5,5,5
2,1,1,2,1,1,4,2,1,1,1
3,2,4,NP,5,5,NP,5,NP,5,NP
1,2,2,1,1,2,3,1,2,2,4
4,2,4,5,5,NP,4,NP,5,NP,5
2,2,1,3,1,1,3,1,2,1,3
3,2,3,5,5,NP,5,4,5,NP,NP
2,2,4,2,2,2,2,3,2,1,1
3,2,3,NP,NP,5,3,NP,NP,NP,NP
1,1,2,1,3,2,1,2,2,1,3
2,1,2,2,3,3,3,2,2,2,1
3,2,5,4,NP,NP,NP,5,4,5,5
1,3,1,2,3,3,2,2,2,1,1
3,2,4,5,5,NP,NP,NP,5,4,5
1,2,4,1,2,1,2,1,2,1,4
4,3,4,5,5,5,5,5,5,5,5
3,3,4,NP,5,3,5,NP,NP,NP,5
4,2,4,3,NP,4,NP,5,3,5,5
4,3,4,NP,NP,3,NP,5,4,5,5
4,3,4,5,5,5,5,NP,5,4,5
3,3,4,5,5,3,5,5,NP,NP,5
4,3,5,4,5,5,5,5,4,NP,5
1,1,2,1,1,2,2,2,1,1,2
1,2,5,5,5,5,5,NP,3,4,1
3,2,4,5,5,NP,5,5,5,5,NP
2,1,2,2,2,2,1,2,3,1,1
3,2,4,NP,NP,5,NP,3,4,5,5
4,3,4,3,5,3,3,NP,5,5,4
2,2,1,1,1,3,3,2,2,2,2
4,2,5,NP,5,5,NP,5,5,NP,5
3,3,4,4,5,5,5,5,NP,NP,5
2,2,2,2,1,2,1,4,3,4,1
3,1,3,NP,4,NP,NP,NP,NP,5,5
4,2,5,5,5,5,3,NP,5,NP,4
3,2,4,5,5,5,5,5,5,5,5
3,1,4,5,5,3,5,NP,5,5,4
1,1,3,2,2,2,2,1,2,3,4
1,2,2,1,1,2,1,1,1,3,2
2,1,2,3,1,3,2,1,1,4,3
2,2,2,3,3,2,1,2,2,2,2
1,2,1,2,1,1,1,2,1,4,3
2,1,2,3,3,2,2,1,1,3,1
2,2,1,3,4,2,1,1,2,2,3
1,3,1,3,3,2,1,2,2,2,1
1,1,2,2,2,2,1,2,3,2,1
1,1,2,1,2,3,3,1,2,1,2
1,1,1,1,1,1,1,1,1,1,3
2,1,2,3,1,2,2,1,1,4,2
2,2,3,3,4,2,1,1,2,3,NP
2,2,3,NP,4,3,NP,3,NP,1,5
2,3,3,3,NP,NP,1,1,1,1,NP
1,2,5,5,5,5,5,3,4,3,5
1,2,5,3,3,NP,NP,1,1,NP,1
1,2,4,5,NP,NP,NP,NP,5,4,5
2,2,2,3,5,5,2,4,NP,2,2
2,3,1,NP,NP,4,NP,4,NP,NP,5
